# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   40       1.194870455080e+03       5.461153467282e-02       0.000000000000e+00       1.636788068494e+00       1.454228762591e-07       1.069352206044e-03      -8.270399937816e-07 
   41       1.213920849932e+03       5.937880857292e-02       0.000000000000e+00       1.570683312302e+00       1.452246630272e-07       1.046284274918e-03      -8.556929683682e-07 
   42       1.233218275553e+03       6.440920250660e-02       0.000000000000e+00       1.494207065563e+00       1.449774928461e-07       1.024116528316e-03      -9.068412240163e-07 
   43       1.252714841404e+03       6.970661012929e-02       0.000000000000e+00       1.406573887615e+00       1.447072779535e-07       1.002870954386e-03      -9.677020872124e-07 
   44       1.272325110945e+03       7.527437270357e-02       0.000000000000e+00       1.306906930676e+00       1.444064884489e-07       9.823253227529e-04      -1.020957429792e-06 
   45       1.291961587043e+03       8.111553844676e-02       0.000000000000e+00       1.194411482174e+00       1.440466968992e-07       9.621408816245e-04      -1.049109334810e-06 
   46       1.311661264695e+03       8.723380477748e-02       0.000000000000e+00       1.068971366702e+00       1.436527171155e-07       9.424219348065e-04      -1.051287101130e-06 
   47       1.331491537869e+03       9.363280597476e-02       0.000000000000e+00       9.307208066020e-01       1.432535252602e-07       9.233297519026e-04      -1.032925553991e-06 
   48       1.351513929239e+03       1.003158344415e-01       0.000000000000e+00       7.798847758619e-01       1.428573632892e-07       9.049137111356e-04      -1.001727392251e-06 
   49       1.371783156129e+03       1.072858269487e-01       0.000000000000e+00       6.167834332722e-01       1.424454276256e-07       8.870908125271e-04      -9.679310037093e-07 
   50       1.392339050704e+03       1.145452013460e-01       0.000000000000e+00       4.417231830134e-01       1.419841680904e-07       8.697138387986e-04      -9.421313722527e-07 
   51       1.413181901993e+03       1.220953463563e-01       0.000000000000e+00       2.546247108877e-01       1.414880731104e-07       8.528613785744e-04      -9.270037303412e-07 
   52       1.434288806165e+03       1.299369695137e-01       0.000000000000e+00       5.530164570707e-02       1.409778837713e-07       8.366268852915e-04      -9.227368543867e-07 
   53       1.455618987119e+03       1.380702142930e-01       0.000000000000e+00      -1.564357732109e-01       1.404608042100e-07       8.210275904168e-04      -9.291643289828e-07 
   54       1.477112526155e+03       1.464946393168e-01       0.000000000000e+00      -3.807815980677e-01       1.399267778628e-07       8.059923217763e-04      -9.457158700168e-07 
